CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,LATITUD,LONGITUD,FECHA DE CORTE
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,215176000101,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,215176000275,COL.DE ED. BAS. SAN FRANCISCO DE ASIS,RURAL,5.604722,-73.83,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,215176000101,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,215176000224,COLEGIO DE EDUCACION BASICA VARELA DE CHIQUINQUIRA,RURAL,5.675627096,-73.87396975,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,115176000033,I.E. TECNICA PIO ALBERTO FERRO PEÑA,215176000364,ESC CASABLANCA,RURAL,5.636147377,-73.80325842,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,215176001131,I.E. TECNICA LOS COMUNEROS,215176001131,I.E. TECNICA LOS COMUNEROS - SEDE PRINCIPAL,RURAL,5.616231572,-73.73961762,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,215176001131,I.E. TECNICA LOS COMUNEROS,215176000267,SEDE MOYAVITA LA CAPILLA,RURAL,5.604722,-73.7225,"Tuesday, April 16, 2024"
15,BOYACÁ,OCCIDENTE,15176,CHIQUINQUIRÁ,215176001131,I.E. TECNICA LOS COMUNEROS,215176000941,SEDE SASA ALTO,RURAL,5.629758524,-73.72359406,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000135,I.E. TECNICA SAN PEDRO DE IGUAQUE,115232000033,COL DE EDUC BAS VALDEMAR FRANKLIN QUINTERO,RURAL,5.6065,-73.48361111,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000135,I.E. TECNICA SAN PEDRO DE IGUAQUE,215232000119,ESC EL MONTE,RURAL,5.615291,-73.455246,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000020,I.E. TECNICA EL CERRO,215232000062,ESC LLANO GRANDE,RURAL,5.631929,-73.409202,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000135,I.E. TECNICA SAN PEDRO DE IGUAQUE,215232000127,ESC PATIECITOS,RURAL,5.641633539,-73.45028654,"Tuesday, April 16, 2024"
